,date,customer_id,product_id,quantity,unit_price,revenue,marketing_campaign
0,2021-01-01,372,58,4,42.01,168.04,False
1,2021-01-02,288,61,1,74.71,74.71,False
2,2021-01-03,130,24,3,36.74,110.22,False
3,2021-01-04,175,20,3,60.98,182.94,False
4,2021-01-05,462,37,2,52.84,105.68,False
5,2021-01-06,84,4,3,69.73,209.19,False
6,2021-01-07,22,92,2,94.31,188.62,False
7,2021-01-08,459,20,3,75.93,227.79000000000002,False
8,2021-01-09,27,60,0,29.34,0.0,False
9,2021-01-10,195,24,2,12.81,25.62,False
10,2021-01-11,337,50,4,33.6,134.4,False
11,2021-01-12,382,49,2,63.56,127.12,False
12,2021-01-13,236,51,1,14.63,14.63,False
13,2021-01-14,440,96,3,54.67,164.01,False
14,2021-01-15,92,36,4,63.72,254.88,False
15,2021-01-16,477,98,4,40.08,160.32,False
16,2021-01-17,21,100,1,79.38,79.38,False
17,2021-01-18,303,66,2,19.59,39.18,False
18,2021-01-19,464,79,3,16.76,50.28,False
19,2021-01-20,357,34,2,75.54,151.08,False
20,2021-01-21,443,36,3,54.59,163.77,False
21,2021-01-22,84,6,4,71.96,287.84,False
22,2021-01-23,262,39,1,49.13,49.13,False
23,2021-01-24,147,42,3,32.18,96.53999999999999,False
24,2021-01-25,441,58,3,83.72,251.16,False
25,2021-01-26,453,12,3,81.95,245.85000000000002,False
26,2021-01-27,387,3,5,72.52,362.59999999999997,False
27,2021-01-28,257,18,0,34.49,0.0,False
28,2021-01-29,58,40,1,63.12,63.12,False
29,2021-01-30,380,21,4,42.49,169.96,False
30,2021-01-31,422,15,3,18.24,54.72,False
31,2021-02-01,15,97,1,92.56,92.56,False
32,2021-02-02,162,99,7,22.31,156.17,False
33,2021-02-03,445,26,3,95.52,286.56,False
34,2021-02-04,163,8,4,50.14,200.56,False
35,2021-02-05,320,100,2,26.66,53.32,False
36,2021-02-06,497,94,1,58.77,58.77,False
37,2021-02-07,281,87,4,88.57,354.28,False
38,2021-02-08,280,42,4,75.9,303.6,False
39,2021-02-09,12,44,1,82.59,82.59,False
40,2021-02-10,274,14,2,69.29,138.58,False
41,2021-02-11,271,78,3,72.3,216.89999999999998,False
42,2021-02-12,492,2,5,86.43,432.15000000000003,False
43,2021-02-13,208,37,5,32.47,162.35,False
44,2021-02-14,27,69,3,54.05,162.14999999999998,False
45,2021-02-15,72,38,2,29.91,59.82,False
46,2021-02-16,60,41,3,98.89,296.67,False
47,2021-02-17,430,62,3,94.97,284.90999999999997,False
48,2021-02-18,473,60,1,13.55,13.55,False
49,2021-02-19,145,14,6,73.5,441.0,False
50,2021-02-20,93,89,1,93.27,93.27,False
51,2021-02-21,309,84,5,26.25,131.25,False
52,2021-02-22,8,2,4,61.12,244.48,False
53,2021-02-23,79,70,3,92.39,277.17,False
54,2021-02-24,27,17,2,13.06,26.12,False
55,2021-02-25,174,89,3,72.77,218.31,False
56,2021-02-26,50,28,2,36.76,73.52,False
57,2021-02-27,500,66,6,93.2,559.2,False
58,2021-02-28,199,35,2,97.4,194.8,False
59,2021-03-01,387,5,6,94.98,569.88,False
60,2021-03-02,349,65,3,52.68,158.04,False
61,2021-03-03,448,40,0,87.58,0.0,False
62,2021-03-04,428,76,5,86.01,430.05,False
63,2021-03-05,181,56,0,38.72,0.0,False
64,2021-03-06,24,36,6,84.6,507.59999999999997,False
